Date,ADA
03/25/2022,1.097888
03/26/2022,1.150594
03/27/2022,1.182148
03/28/2022,1.170184
03/29/2022,1.191112
03/30/2022,1.190385
03/31/2022,1.141851
04/01/2022,1.165425
04/02/2022,1.156007
04/03/2022,1.185941
04/04/2022,1.212945
04/05/2022,1.170801
04/06/2022,1.052771
04/07/2022,1.091894
04/08/2022,1.026326
04/09/2022,1.045015
04/10/2022,1.030885
04/11/2022,0.92045
04/12/2022,0.955145
04/13/2022,0.974696
04/14/2022,0.932412
04/15/2022,0.954717
04/16/2022,0.95264
04/17/2022,0.917466
04/18/2022,0.93673
04/19/2022,0.953333
04/20/2022,0.937341
04/21/2022,0.910474
04/22/2022,0.907154
04/23/2022,0.888503
04/24/2022,0.88635
04/25/2022,0.898695
04/26/2022,0.827645
04/27/2022,0.840595
04/28/2022,0.84395
04/29/2022,0.805043
04/30/2022,0.75666
05/01/2022,0.790344
05/02/2022,0.781529
05/03/2022,0.771145
05/04/2022,0.896942
05/05/2022,0.791152
05/06/2022,0.783359
05/07/2022,0.761882
05/08/2022,0.739563
05/09/2022,0.610088
05/10/2022,0.628963
05/11/2022,0.5128
05/12/2022,0.473746
05/13/2022,0.528877
05/14/2022,0.539358
05/15/2022,0.5975
05/16/2022,0.556716
05/17/2022,0.578077
05/18/2022,0.505615
05/19/2022,0.533321
05/20/2022,0.517907
05/21/2022,0.528314
05/22/2022,0.542618
05/23/2022,0.512605
05/24/2022,0.521224
05/25/2022,0.513877
05/26/2022,0.480883
05/27/2022,0.455507
05/28/2022,0.464764
05/29/2022,0.481126
05/30/2022,0.570073
05/31/2022,0.625254
06/01/2022,0.55275
06/02/2022,0.587795
06/03/2022,0.559658
06/04/2022,0.566069
06/05/2022,0.56709
06/06/2022,0.609328
06/07/2022,0.615445
06/08/2022,0.641614
06/09/2022,0.63292
06/10/2022,0.574216
06/11/2022,0.552777
06/12/2022,0.496861
06/13/2022,0.463133
06/14/2022,0.484386
06/15/2022,0.533296
06/16/2022,0.475022
06/17/2022,0.487392
06/18/2022,0.456182
06/19/2022,0.484364
06/20/2022,0.492261
06/21/2022,0.479204
06/22/2022,0.458568
06/23/2022,0.480292
06/24/2022,0.499224
06/25/2022,0.498946
06/26/2022,0.489653
06/27/2022,0.48579
06/28/2022,0.469671
06/29/2022,0.465509
06/30/2022,0.458849
07/01/2022,0.448089
07/02/2022,0.456351
07/03/2022,0.455587
07/04/2022,0.469644
07/05/2022,0.457632
07/06/2022,0.462179
07/07/2022,0.477812
07/08/2022,0.467311
07/09/2022,0.47876
07/10/2022,0.46322
07/11/2022,0.43552
07/12/2022,0.417928
07/13/2022,0.438108
07/14/2022,0.441025
07/15/2022,0.442456
07/16/2022,0.45723
07/17/2022,0.447353
07/18/2022,0.492543
07/19/2022,0.515768
07/20/2022,0.491043
07/21/2022,0.500098
07/22/2022,0.483946
07/23/2022,0.517368
07/24/2022,0.513814
07/25/2022,0.47625
07/26/2022,0.467607
07/27/2022,0.510553
07/28/2022,0.513328
07/29/2022,0.523335
07/30/2022,0.525576
07/31/2022,0.51702
08/01/2022,0.514123
08/02/2022,0.496833
08/03/2022,0.500988
08/04/2022,0.499668
08/05/2022,0.517503
08/06/2022,0.511256
08/07/2022,0.52747
08/08/2022,0.536596
