date,open,high,low,close,volume
2021-11-30,1.865,9.0,0.1,0.55,7838.865
2021-12-01,0.55,10.0,0.45,0.5,15007.3
2021-12-02,0.5,50.0,0.1,0.599,12341.304999999997
2021-12-03,0.599,1.0,0.5,1.0,22623.37
2021-12-04,1.0,10.9,0.5,0.85,18657.1
2021-12-05,0.85,1.9989999999999999,0.6,0.89,12847.889999999998
2021-12-06,0.89,10.0,0.4,0.65,25008.230000000003
2021-12-07,0.65,1.034,0.65,0.875,13253.59
2021-12-08,0.875,10.0,0.65,0.8,48808.06
2021-12-09,0.8,1.1,0.5,0.65,10931.7
2021-12-10,0.65,1.2,0.61,0.75,3839.3
2021-12-11,0.75,1.1,0.6,0.71,7827.650000000001
2021-12-12,0.71,1.1,0.5,1.1,23732.800000000003
2021-12-13,1.1,1.2,0.5,0.65,35973.810000000005
2021-12-14,0.65,10.0,0.4,0.65,27959.959999999995
2021-12-15,0.65,2.0,0.45,0.642,21977.929999999993
2021-12-16,0.642,0.75,0.55,0.7,34524.04000000001
2021-12-17,0.7,50.0,0.551,0.75,51139.35
2021-12-18,0.75,25.0,0.45,0.75,137837.69999999998
2021-12-19,0.75,25.0,0.53,0.73,53000.03
2021-12-20,0.73,25.0,0.56,0.9,216425.34000000005
2021-12-21,0.9,25.0,0.77,0.86,325481.71499999997
2021-12-22,0.86,25.0,0.701,0.99,420359.07800000004
2021-12-23,0.99,1.1,0.36,0.38,303850.85
2021-12-24,0.38,0.6,0.34,0.3849,160529.775
2021-12-25,0.3849,0.58,0.36,0.395,61961.54000000001
2021-12-26,0.395,0.7,0.34,0.36,37491.710000000014
2021-12-27,0.36,0.44,0.29,0.326,106617.655
2021-12-28,0.326,10.0,0.29,0.339,110187.475
2021-12-29,0.339,1.0,0.29,0.368,108720.69794999996
2021-12-30,0.368,20.0,0.343,0.39,39417.82000000001
2021-12-31,0.39,1.0,0.32,0.358,95110.21500000001
2022-01-01,0.358,1.0,0.3,0.3,24404.3097
2022-01-02,0.3,0.65,0.275,0.275,146765.77300000004
2022-01-03,0.275,1.0,0.25,0.32,185230.06750000003
2022-01-04,0.32,1.0,0.3,0.4,79612.236
2022-01-05,0.4,2.0,0.28,0.4,138573.67999999996
2022-01-06,0.4,1.0,0.29,0.31,52612.361499999985
2022-01-07,0.31,0.4,0.29,0.34,164624.863
2022-01-08,0.34,0.6,0.248,0.349,90844.2015
2022-01-09,0.349,1.0,0.31,0.35,61404.932
2022-01-10,0.35,0.5730000000000001,0.3,0.35,112524.01099999998
2022-01-11,0.35,1.0,0.3,0.32994999999999997,48255.92849999998
2022-01-12,0.32994999999999997,0.7,0.285,0.323,46866.065
2022-01-13,0.323,0.65,0.3,0.43,90495.32799800002
2022-01-14,0.43,0.6,0.33,0.43700000000000006,99122.95499999997
2022-01-15,0.43700000000000006,0.8,0.249,0.53,180612.788
2022-01-16,0.53,0.6,0.399,0.5,201192.9545
2022-01-17,0.5,1.0,0.38,0.475,143605.11093799994
2022-01-18,0.475,0.7,0.4,0.54,162796.313104
2022-01-19,0.54,1.0,0.475,0.5934285714285714,343894.399736
2022-01-20,0.5934285714285714,0.6298918918918919,0.5437262566880717,0.5925982156518468,518426.1478580001
2022-01-21,0.5925982156518468,0.5992940228739901,0.5504355898305957,0.5631500674625649,276269.77832599985
2022-01-22,0.5631500674625649,0.5812681879273367,0.5630485280795594,0.5757165019669163,134282.06005599996
2022-01-23,0.5757165019669163,0.5757165019669163,0.5740759264071957,0.574385814510981,114666.44183399997
2022-01-24,0.574385814510981,0.5818571527528635,0.5742251701668579,0.580185733187978,108752.59158199998
2022-01-25,0.580185733187978,0.6126884857801975,0.580185733187978,0.5931230797371558,389459.3369159999
2022-01-26,0.5931230797371558,0.6000805330592637,0.5765103263171315,0.5975207231799164,253349.035521
2022-01-27,0.5975207231799164,0.6260530809413772,0.5975207231799164,0.6260530809413772,201150.91697900003
2022-01-28,0.6260530809413772,0.6353098520525132,0.6195416661008233,0.6246607801465157,319998.20867300004
2022-01-29,0.6246607801465157,0.631144274666744,0.6139680821827597,0.6155208276820845,466588.3182910003
2022-01-30,0.6155208276820845,0.6184723202265411,0.6107032378459237,0.6171915663685053,206192.22066500003
2022-01-31,0.6171915663685053,0.6200243318988155,0.6129913520825498,0.6172606260166844,102042.10885799999
2022-02-01,0.6172606260166844,0.6172855111583118,0.5915877514903213,0.5991914917505409,288401.82950899994
2022-02-02,0.5991914917505409,0.6352472911877027,0.5991914849328007,0.6205191536136414,437038.5044789999
2022-02-03,0.6205191536136414,0.633169960778091,0.5933209051907742,0.5939185051837951,500531.20128900016
2022-02-04,0.5939185051837951,0.6157718748379587,0.5939184709352456,0.6063951036731627,399642.0731049998
2022-02-05,0.6063951036731627,0.6070703935166973,0.5922377160818676,0.5996190859939758,194883.30036
2022-02-06,0.5996190859939758,0.6137727901155668,0.599554290116243,0.6037494249768285,170439.03480599998
2022-02-07,0.6037494249768285,0.6083010184452766,0.6005407146275183,0.6060979397021452,237716.65933999995
2022-02-08,0.6060979397021452,0.6675995348502386,0.6060979397021452,0.6675995348502386,695326.2292730003
2022-02-09,0.6675995348502386,0.6823418905264247,0.6577049449707759,0.6823002356232252,393525.202522
2022-02-10,0.6823002356232252,0.6955217258020526,0.6822452234655362,0.6874064906776087,412921.7910600001
2022-02-11,0.6874064906776087,0.722371646468497,0.6627454151428435,0.722371646468497,821459.6639109998
2022-02-12,0.722371646468497,0.7780726050312625,0.7223714772788682,0.7780709095919661,994654.4930730001
2022-02-13,0.7780709095919661,0.8159087570231685,0.7773165140406074,0.8051732827697885,1000168.6023949998
2022-02-14,0.8051732827697885,0.8278483111072649,0.8051732827697885,0.8271190599661066,639256.3676720001
2022-02-15,0.8271190599661066,0.8446854387740963,0.7895196250692887,0.8108932594659063,1372755.6736050006
2022-02-16,0.8108932594659063,0.8663058190456859,0.8099792796183883,0.8663058190456859,1416471.5599190004
2022-02-17,0.8663058190456859,0.8852368728430694,0.8608148021289609,0.8849322448837339,842909.842821
2022-02-18,0.8849322448837339,0.9057561282437647,0.8695604804424383,0.9057561282437647,1030202.2622059995
2022-02-19,0.9057561282437647,0.9117226622735433,0.8948331960169348,0.9117226622735433,553899.884481
2022-02-20,0.9117226622735433,0.9208739676825597,0.8673873572806202,0.8674075308949762,805520.3339869996
2022-02-21,0.8674075308949762,0.957241248498795,0.8669383287149893,0.9517752783165331,1538562.191493
2022-02-22,0.9517752783165331,0.9751881730734114,0.9453582236184925,0.9475577397696315,841295.847874
2022-02-23,0.9475577397696315,0.966105135200149,0.9308187267570222,0.9331064048582942,922068.165385
2022-02-24,0.9331064048582942,0.950333302738686,0.8887936348872945,0.9023187418862896,1670923.9233810003
2022-02-25,0.9023187418862896,0.912182345106447,0.8941776090475716,0.9043568497612136,487665.87765000004
2022-02-26,0.9043568497612136,0.9043568497612136,0.8865142940347889,0.8966569189265632,541683.836839
2022-02-27,0.8966569189265632,0.9029765906593394,0.8880440224639756,0.8902546881413048,378859.02483199997
2022-02-28,0.8902546881413048,0.8902551212229719,0.8437477870946964,0.8437838012177212,622713.8807159999
2022-03-01,0.8437838012177212,0.8437838012177212,0.8012291491001028,0.8080603375243378,628744.3841979998
2022-03-02,0.8080603375243378,0.8329835634284509,0.8046209647643225,0.8298964624254344,729710.4334440001
2022-03-03,0.8298964624254344,0.8446812460304228,0.8233740862353706,0.8414761151927762,432904.47130800004
2022-03-04,0.8414761151927762,0.8721482470170951,0.8413961111072786,0.8675753801003644,548633.88026
2022-03-05,0.8675753801003644,0.8851854945713794,0.8390857340402605,0.8451060562665375,913854.147012
2022-03-06,0.8451060562665375,0.8600043188513611,0.8441168032839388,0.8489017127552243,427702.42182
2022-03-07,0.8489017127552243,0.861661670349593,0.8404910962629552,0.8545302432227267,563511.186513
2022-03-08,0.8545302432227267,0.8734690929575161,0.8470777097228025,0.8542131565898456,823860.9674439996
2022-03-09,0.8542131565898456,0.8548955580548989,0.8390437627057232,0.8404386176507351,324858.517719
2022-03-10,0.8404386176507351,0.8483761977360733,0.8376942625119177,0.8466287837944079,367895.7712759999
2022-03-11,0.8466287837944079,0.8614329550310491,0.8420731572214827,0.8614329123632558,576455.129403
2022-03-12,0.8614329123632558,0.861737285292567,0.8514465244666708,0.8517004373635259,379826.3104540001
2022-03-13,0.8517004373635259,0.8517111141727199,0.8371631077928748,0.8427508098279722,296593.5161450001
2022-03-14,0.8427508098279722,0.8457816915542228,0.8178665151457168,0.8193720102653232,546231.440155
2022-03-15,0.8193720102653232,0.8256887142176279,0.8107492979981166,0.8116411221611314,542817.4613689999
2022-03-16,0.8116411221611314,0.8134367472250211,0.7973340601699137,0.8041591739144579,526501.825703
2022-03-17,0.8041591739144579,0.8041907518369212,0.79562180189034,0.7987216410281871,217437.524763
2022-03-18,0.7987216410281871,0.8216043779405972,0.7917570702706234,0.8170738438297511,652143.0438669997
2022-03-19,0.8170738438297511,0.817082337847503,0.7536811733448832,0.7540889037028041,956857.3008930002
2022-03-20,0.7540889037028041,0.7644099350546224,0.7540738487545495,0.7641256081989006,224491.33209599997
2022-03-21,0.7641256081989006,0.7731350946771283,0.7572371312448388,0.758730435996453,320846.6938469999
2022-03-22,0.758730435996453,0.7736361893006193,0.7279598508729331,0.7348189686842643,1025762.9252909996
2022-03-23,0.7348189686842643,0.737221749977243,0.7026888970682086,0.7026888970682086,519425.9774639998
2022-03-24,0.7026888970682086,0.7107371422044085,0.6869792195398181,0.701726491016451,545081.605391
