date,open,high,low,close,volume
2023-08-31,0.000809,0.000822,0.000795,0.000795,"333,540"
2023-09-01,0.000795,0.000797,0.000743,0.000768,"828,334"
2023-09-02,0.000768,0.000769,0.000707,0.000748,"1,054,229"
2023-09-03,0.000748,0.000749,0.000725,0.000734,"254,579"
2023-09-04,0.000734,0.000746,0.000733,0.000741,"167,658"
2023-09-05,0.000741,0.000742,0.000723,0.000730,"213,215"
2023-09-06,0.000730,0.000732,0.000670,0.000679,"894,175"
2023-09-07,0.000679,0.000682,0.000619,0.000627,"838,098"
2023-09-08,0.000627,0.000733,0.000618,0.000732,"989,277"
2023-09-09,0.000732,0.000753,0.000721,0.000736,"572,740"
2023-09-10,0.000736,0.000759,0.000719,0.000719,"402,695"
2023-09-11,0.000719,0.000725,0.000680,0.000683,"391,100"
2023-09-12,0.000683,0.000717,0.000674,0.000708,"337,449"
2023-09-13,0.000708,0.000709,0.000690,0.000709,"344,146"
2023-09-14,0.000709,0.000720,0.000693,0.000708,"331,996"
2023-09-15,0.000708,0.000710,0.000694,0.000703,"247,626"
2023-09-16,0.000703,0.000769,0.000703,0.000762,"461,575"
2023-09-17,0.000762,0.000832,0.000728,0.000781,"1,445,210"
2023-09-18,0.000781,0.000827,0.000755,0.000775,"822,032"
2023-09-19,0.000775,0.000777,0.000740,0.000749,"455,438"
2023-09-20,0.000749,0.000751,0.000722,0.000729,"292,315"
2023-09-21,0.000729,0.000736,0.000726,0.000730,"157,863"
2023-09-22,0.000730,0.000830,0.000730,0.000815,"1,206,021"
2023-09-23,0.000815,0.000856,0.000815,0.000854,"450,577"
2023-09-24,0.000854,0.000936,0.000840,0.000902,"1,158,247"
2023-09-25,0.000902,0.000902,0.000827,0.000827,"624,980"
2023-09-26,0.000827,0.000869,0.000807,0.000850,"575,669"
2023-09-27,0.000850,0.000874,0.000820,0.000839,"475,323"
2023-09-28,0.000839,0.000841,0.000815,0.000815,"258,720"
2023-09-29,0.000815,0.000816,0.000751,0.000767,"705,688"
2023-09-30,0.000767,0.000773,0.000735,0.000755,"432,868"
2023-10-01,0.000755,0.000763,0.000716,0.000716,"669,289"
2023-10-02,0.000716,0.000738,0.000714,0.000715,"349,516"
2023-10-03,0.000715,0.000715,0.000687,0.000710,"465,140"
2023-10-04,0.000710,0.000724,0.000698,0.000698,"287,020"
2023-10-05,0.000699,0.000712,0.000672,0.000710,"336,278"
2023-10-06,0.000711,0.000749,0.000708,0.000748,"393,561"
2023-10-07,0.000748,0.000764,0.000747,0.000759,"203,687"
2023-10-08,0.000759,0.000759,0.000695,0.000701,"541,771"
2023-10-09,0.000701,0.000712,0.000696,0.000705,"240,169"
2023-10-10,0.000705,0.000705,0.000661,0.000682,"508,990"
2023-10-11,0.000682,0.000700,0.000677,0.000689,"293,849"
2023-10-12,0.000689,0.000692,0.000670,0.000678,"402,858"
2023-10-13,0.000678,0.000682,0.000658,0.000660,"278,856"
2023-10-14,0.000660,0.000696,0.000643,0.000688,"539,348"
2023-10-15,0.000688,0.000704,0.000670,0.000676,"451,817"
2023-10-16,0.000676,0.000677,0.000592,0.000633,"1,283,444"
2023-10-17,0.000633,0.000634,0.000592,0.000602,"903,280"
2023-10-18,0.000602,0.000612,0.000596,0.000601,"338,293"
2023-10-19,0.000601,0.000605,0.000558,0.000571,"715,073"
2023-10-20,0.000571,0.000571,0.000553,0.000557,"354,804"
2023-10-21,0.000557,0.000590,0.000557,0.000571,"250,970"
2023-10-22,0.000571,0.000659,0.000567,0.000630,"689,216"
2023-10-23,0.000630,0.000685,0.000627,0.000685,"716,348"
2023-10-24,0.000685,0.000685,0.000630,0.000632,"488,233"
2023-10-25,0.000632,0.000666,0.000606,0.000638,"1,127,620"
2023-10-26,0.000638,0.000681,0.000631,0.000679,"797,708"
2023-10-27,0.000679,0.000792,0.000658,0.000744,"1,585,411"
2023-10-28,0.000744,0.000783,0.000686,0.000768,"1,257,301"
2023-10-29,0.000768,0.000768,0.000721,0.000723,"672,779"
2023-10-30,0.000723,0.000723,0.000689,0.000709,"437,411"
2023-10-31,0.000709,0.000723,0.000696,0.000697,"227,423"
2023-11-01,0.000697,0.000730,0.000697,0.000728,"391,901"
2023-11-02,0.000728,0.000835,0.000728,0.000814,"1,339,429"
2023-11-03,0.000814,0.000814,0.000758,0.000758,"492,443"
2023-11-04,0.000758,0.000801,0.000757,0.000794,"289,894"
2023-11-05,0.000794,0.000799,0.000726,0.000734,"665,134"
2023-11-06,0.000734,0.000755,0.000710,0.000739,"600,820"
2023-11-07,0.000739,0.000739,0.000691,0.000713,"574,996"
2023-11-08,0.000713,0.000723,0.000667,0.000688,"582,586"
2023-11-09,0.000688,0.000755,0.000671,0.000732,"642,151"
